Birim_Id,Birim_Adi,Birim_Tur_Id,Birim_Tur_Adi,Yoksis_Id_x,Rapor_Sayisi,Yoksis_Id_y,Hedef_Sayisi,Yoksis_Id,Gerceklesen_Hedef,Planlama_Etkinligi,Rapor_Basina_Hedef,Ortalama_Hedef_Gerceklesme,Basari_Duzeyi
10936993.0,YAPI İŞLERİ VE TEKNİK DAİRE BAŞKANLIĞI,0,Tanımsız,10936993.0,1,10936993.0,467,,0,0.0,233.5,0.0,Orta
11191499.0,ALMANCA ÖĞRETMENLİĞİ BÖLÜMÜ,0,Tanımsız,11191499.0,2,11191499.0,476,,0,0.0,158.66666666666666,0.0,Orta
11488676.0,FELSEFE GRUBU ÖĞRETMENLİĞİ BÖLÜMÜ,0,Tanımsız,11488676.0,1,11488676.0,357,,0,0.0,178.5,0.0,Orta
11987284.0,SPOR YÖNETİCİLİĞİ BÖLÜM BAŞKANLIĞI,0,Tanımsız,11987284.0,1,11987284.0,357,,0,0.0,178.5,0.0,Orta
12068940.0,KİMYA MÜHENDİSLİĞİ BÖLÜM BAŞKANLIĞI,0,Tanımsız,12068940.0,1,12068940.0,357,,0,0.0,178.5,0.0,Orta
12837963.0,TÜRKOLOJİ ARAŞTIRMALARI MERKEZİ MÜDÜRLÜĞÜ,0,Tanımsız,12837963.0,1,12837963.0,375,,0,0.0,187.5,0.0,Orta
14010844.0,MİMARLIK BÖLÜM BAŞKANLIĞI,0,Tanımsız,14010844.0,3,14010844.0,476,,0,0.0,119.0,0.0,Orta
14129312.0,ADANA MESLEK YÜKSEKOKULU MÜDÜRLÜĞÜ,0,Tanımsız,14129312.0,2,14129312.0,734,,0,0.0,244.66666666666666,0.0,Orta
14310837.0,YABANCI DİLLER YÜKSEKOKULU MÜDÜRLÜĞÜ,0,Tanımsız,14310837.0,1,14310837.0,719,,0,0.0,359.5,0.0,Orta
14410203.0,İNŞAAT MÜHENDİSLİĞİ BÖLÜM BAŞKANLIĞI,0,Tanımsız,,0,14410203.0,595,,0,0.0,595.0,0.0,Orta
14751238.0,JEOLOJİ MÜHENDİSLİĞİ BÖLÜM BAŞKANLIĞI,0,Tanımsız,14751238.0,1,14751238.0,357,,0,0.0,178.5,0.0,Orta
14912232.0,ADANA GENETİK HASTALIKLARI TANI VE TEDAVİ UYGULAMA VE ARAŞTIRMA MERKEZİ MÜDÜRLÜĞÜ,0,Tanımsız,,0,14912232.0,29,,0,0.0,29.0,0.0,Orta
15038478.0,ŞEHİR VE BÖLGE PLANLAMA BÖLÜM BAŞKANLIĞI,0,Tanımsız,15038478.0,2,15038478.0,357,,0,0.0,119.0,0.0,Orta
16009750.0,TARIM MAKİNALARI VE TEKNOLOJİLERİ MÜHENDİSLİĞİ BÖLÜM BAŞKANLIĞI,0,Tanımsız,16009750.0,1,16009750.0,357,,0,0.0,178.5,0.0,Orta
16199167.0,FRANSIZCA ÖĞRETMENLİĞİ BÖLÜMÜ,0,Tanımsız,16199167.0,2,16199167.0,357,,0,0.0,119.0,0.0,Orta
16854460.0,VETERİNER FAKÜLTESİ DEKANLIĞI,0,Tanımsız,16854460.0,1,16854460.0,734,,0,0.0,367.0,0.0,Orta
17062936.0,MAKİNE MÜHENDİSLİĞİ BÖLÜM BAŞKANLIĞI,0,Tanımsız,17062936.0,1,17062936.0,357,,0,0.0,178.5,0.0,Orta
17476449.0,ADANA ORGANİZE SANAYİ BÖLGESİ TEKNİK BİLİMLER MESLEK YÜKSEKOKULU MÜDÜRLÜĞÜ,0,Tanımsız,17476449.0,1,17476449.0,734,,0,0.0,367.0,0.0,Orta
17614729.0,SUBTROPİK MEYVELER ARAŞTIRMA VE UYGULAMA MERKEZİ MÜDÜRLÜĞÜ,0,Tanımsız,17614729.0,1,17614729.0,713,,0,0.0,356.5,0.0,Orta
17811773.0,KADIN ÇALIŞMALARI ARAŞTIRMA VE UYGULAMA MERKEZİ,0,Tanımsız,,0,17811773.0,290,,0,0.0,290.0,0.0,Orta
18215143.0,BOTANİK BAHÇESİ UYGULAMA VE ARAŞTIRMA MERKEZİ MÜDÜRLÜĞÜ,0,Tanımsız,,0,18215143.0,182,,0,0.0,182.0,0.0,Orta
18371001.0,MERKEZ DANIŞMA KURULU,0,Tanımsız,,0,18371001.0,238,,0,0.0,238.0,0.0,Orta
18483472.0,ZİRAAT FAKÜLTESİ DEKANLIĞI,0,Tanımsız,18483472.0,3,18483472.0,734,,0,0.0,183.5,0.0,Orta
18560954.0,ECZACILIK FAKÜLTESİ DEKANLIĞI,0,Tanımsız,18560954.0,1,18560954.0,615,,0,0.0,307.5,0.0,Orta
19147728.0,BAHÇE BİTKİLERİ BÖLÜM BAŞKANLIĞI,0,Tanımsız,,0,19147728.0,357,,0,0.0,357.0,0.0,Orta
19235313.0,CEYHAN MESLEK YÜKSEKOKULU MÜDÜRLÜĞÜ,0,Tanımsız,19235313.0,1,19235313.0,387,,0,0.0,193.5,0.0,Orta
19337145.0,İLKÖĞRETİM MATEMATİK  ÖĞRETMENLİĞİ BÖLÜMÜ,0,Tanımsız,19337145.0,1,19337145.0,357,,0,0.0,178.5,0.0,Orta
20025170.0,SERAMİK BÖLÜM BAŞKANLIĞI,0,Tanımsız,20025170.0,2,20025170.0,595,,0,0.0,198.33333333333334,0.0,Orta
20322347.0,BİLGİSAYAR BİLİMLERİ BÖLÜM BAŞKANLIĞI,0,Tanımsız,20322347.0,1,20322347.0,119,,0,0.0,59.5,0.0,Orta
