BirimRaporId,Surec_Id,Yoksis_Id,Path,Filename,Silindi,RaporTip,FilenameP
11,3,93527295,RAPOR/3-93527295-2022-20,BODR2022_KISISEL_VERILERIN_KORUNMASI_BIRIMI.pdf,NULL,1,BODR2022_KISISEL_VERILERIN_KORUNMASI_BIRIMI.pdf
12,3,27224817,RAPOR/3-27224817-2022-20,BODR2022_OGRENCI_ISLERI_DAIRE_BASKANLIGI.pdf,NULL,1,BODR2022_OGRENCI_ISLERI_DAIRE_BASKANLIGI.pdf
13,3,46232573,RAPOR/3-46232573-2022-20,BODR2022_MADEN_MUHENDISLIGI_BOLUM_BASKANLIGI.pdf,NULL,1,BODR2022_MADEN_MUHENDISLIGI_BOLUM_BASKANLIGI.pdf
14,9,17476449,RAPOR/9-17476449-2023-20,BÖDR202301_ADANA_ORGANIZE_SANAYI_BOLGESI_TEKNIK_BILIMLER_MESLEK_YUKSEKOKULU_MUDURLUGU.pdf,NULL,1,BÖDR202301_ADANA_ORGANIZE_SANAYI_BOLGESI_TEKNIK_BILIMLER_MESLEK_YUKSEKOKULU_MUDURLUGU.pdf
15,9,57897348,RAPOR/9-57897348-2023-20,BÖDR202301_PERSONEL_DAIRE_BASKANLIGI.pdf,NULL,1,BÖDR202301_PERSONEL_DAIRE_BASKANLIGI.pdf
16,9,80777025,RAPOR/9-80777025-2023-20,BÖDR202301_BILGISAYAR_VE_OGRETIM_TEKNOLOJILERI_EGITIMI_BOLUM_BASKANLIGI.pdf,NULL,1,BÖDR202301_BILGISAYAR_VE_OGRETIM_TEKNOLOJILERI_EGITIMI_BOLUM_BASKANLIGI.pdf
17,11,85391342,RAPOR/11-85391342-2024-20,BÖDR202401_SAGLIKLI_YASAM_VE_SPOR_BILIMLERI_UYGULAMA_VE_ARASTIRMA_MERKEZI_MUDURLUGU.pdf,NULL,1,BÖDR202401_SAGLIKLI_YASAM_VE_SPOR_BILIMLERI_UYGULAMA_VE_ARASTIRMA_MERKEZI_MUDURLUGU.pdf
18,11,19337145,RAPOR/11-19337145-2024-20,BÖDR202401_ILKOGRETIM_MATEMATIK__OGRETMENLIGI_BOLUMU.pdf,NULL,1,BÖDR202401_ILKOGRETIM_MATEMATIK__OGRETMENLIGI_BOLUMU.pdf
1018,3,57897348,RAPOR/3-57897348-2022-20,BODR2022_PERSONEL_DAIRE_BASKANLIGI.pdf,NULL,1,BODR2022_PERSONEL_DAIRE_BASKANLIGI.pdf
1019,9,97222925,RAPOR/9-97222925-2023-20,"BÖDR202301_RADYO,_TELEVIZYON_VE_SINEMA_BOLUM_BASKANLIGI.pdf",NULL,1,"BÖDR202301_RADYO,_TELEVIZYON_VE_SINEMA_BOLUM_BASKANLIGI.pdf"
