BirimSPlanId,Yoksis_Id,SPlan_Id,SPlan_Ust_Id,SPlan_Tur_Id,OnKod,Kod,Seviye,Tanim,Surec_Id,Pasif,Note,PerformansDegerTip,Expand,KanitZorunluMu,KanitTurSecimZorunluMu,Sira
1,23142722,10,NULL,7,A,NULL,1,Kurumsal İç Değerlendirme,2,0,NULL,0,0,0,0,10
2,23142722,11,10,8," ",A,2,"LİDERLİK, YÖNETİŞİM ve KALİTE",2,0,NULL,3,0,0,0,11
3,23142722,24,10,8,NULL,B,2,EĞİTİM ve ÖĞRETİM,2,0,NULL,3,0,0,0,24
4,23142722,30,10,8,NULL,NULL,2,Birim Hakkında,2,0,NULL,3,0,0,0,2
5,23142722,31,10,8,NULL,C,2,Araştırma Geliştirme,2,0,NULL,3,0,0,0,16
6,23142722,32,10,8,NULL,D,2,Toplumsal Katkı,2,0,NULL,3,0,0,0,17
7,23142722,33,30,9,NULL,1,3,Birim Hakkında,2,0,NULL,3,0,0,0,18
8,23142722,34,33,10,NULL,1.1,4,Birim Hakkında,2,0,NULL,0,0,0,0,19
9,23142722,35,34,11,NULL,1.1.1,5,Birim Hakkında Giriş,2,0,NULL,3,0,1,0,20
10,23142722,25,24,9,NULL,B.1,3,"Program Tasarımı, Değerlendirmesi ve Güncellenmes",2,0,NULL,3,0,0,0,25
