BirimSPlanVeriId,Yoksis_Id,SPlan_Id,Yil,Veri_Donem_Id,Note,SayisalDeger,MantiksalDeger,Surec_Id,RubrikNotId
164006,10936993,41376,2024,2,NULL,NULL,NULL,1016,NULL
164007,10936993,41478,2024,2,NULL,NULL,NULL,1016,NULL
164008,10936993,41479,2024,2,NULL,NULL,NULL,1016,NULL
164009,10936993,41480,2024,2,NULL,13.180000,NULL,1016,NULL
164010,10936993,41481,2024,2,NULL,1.770000,NULL,1016,NULL
164011,10936993,41482,2024,2,NULL,5.031000,NULL,1016,NULL
164012,10936993,41483,2024,2,NULL,20000.000000,NULL,1016,NULL
164013,10936993,41484,2024,2,NULL,8000.000000,NULL,1016,NULL
169715,10936993,554,2024,20,NULL,NULL,NULL,11,NULL
169716,10936993,555,2024,20,NULL,NULL,NULL,11,NULL
